"VESSEL","STATION","LAT_DD","LON_DD","SPP_LABS","WEIGHT","COUNT"
"Vesteraalen","N1",57.794907,-164.038592,"Other",2.52,10.7751196172249
"Vesteraalen","N1",57.794907,-164.038592,"RockSole",2.43,67.0344827586207
"Vesteraalen","N1",57.794907,-164.038592,"StarryFlounder",1.35,4
"Vesteraalen","N1",57.794907,-164.038592,"YellowfinSole",0.65,6
"Vesteraalen","N10",56.301562,-164.015585,"Halibut",1.46,2
"Vesteraalen","N10",56.301562,-164.015585,"Other",87.5267436594203,159.670644790414
"Vesteraalen","N10",56.301562,-164.015585,"PacificCod",36.28,24.0863070539419
"Vesteraalen","N10",56.301562,-164.015585,"Pollock",70.22,247.689594356261
"Vesteraalen","N10",56.301562,-164.015585,"RockSole",14.8932563405797,56.6014492753623
"Vesteraalen","N11",56.135481,-164.013143,"Halibut",2.62,1
"Vesteraalen","N11",56.135481,-164.013143,"Other",58.1,122.525801656403
"Vesteraalen","N11",56.135481,-164.013143,"PacificCod",54.46,17.8909329829172
"Vesteraalen","N11",56.135481,-164.013143,"Pollock",72.07,142.149901380671
"Vesteraalen","N11",56.135481,-164.013143,"RockSole",40.84,146.379928315412
"Vesteraalen","N11",56.135481,-164.013143,"YellowfinSole",1.01,3
"Vesteraalen","N12",55.969366,-164.010723,"Halibut",4.06,2
"Vesteraalen","N12",55.969366,-164.010723,"Other",60.33,30.7908787541713
"Vesteraalen","N12",55.969366,-164.010723,"PacificCod",20.21,33.9404580152672
"Vesteraalen","N12",55.969366,-164.010723,"Pollock",26.64,69.9212598425197
"Vesteraalen","N12",55.969366,-164.010723,"RockSole",29.09,114.078431372549
"Vesteraalen","N12",55.969366,-164.010723,"YellowfinSole",0.71,1
"Vesteraalen","N13",55.803215,-164.008325,"Halibut",15.02,3
"Vesteraalen","N13",55.803215,-164.008325,"Other",53.66,114.089793488876
"Vesteraalen","N13",55.803215,-164.008325,"PacificCod",10.84,10
"Vesteraalen","N13",55.803215,-164.008325,"Pollock",474.94,922.21359223301
"Vesteraalen","N13",55.803215,-164.008325,"RockSole",6.41,23.5661764705882
"Vesteraalen","N14",55.637028,-164.005948,"Halibut",39.25,27.6019690576653
"Vesteraalen","N14",55.637028,-164.005948,"Other",213.11,441.122305754
"Vesteraalen","N14",55.637028,-164.005948,"PacificCod",40,26.504693539481
"Vesteraalen","N14",55.637028,-164.005948,"Pollock",25.82,117.363636363636
"Vesteraalen","N14",55.637028,-164.005948,"RockSole",1.62,5
"Vesteraalen","N15",55.470803,-164.003592,"Halibut",3.79,4.71295336787565
"Vesteraalen","N15",55.470803,-164.003592,"Other",102.97,NA
"Vesteraalen","N15",55.470803,-164.003592,"PacificCod",26.74,26.370808678501
"Vesteraalen","N15",55.470803,-164.003592,"Pollock",101.74,149.617647058824
"Vesteraalen","N15",55.470803,-164.003592,"RockSole",1.4,4
"Vesteraalen","N16",55.30454,-164.001257,"Halibut",0.58,1
"Vesteraalen","N16",55.30454,-164.001257,"Other",76.9001507159005,206.528259231349
"Vesteraalen","N16",55.30454,-164.001257,"PacificCod",16.11,12
"Vesteraalen","N16",55.30454,-164.001257,"Pollock",64.43,95.0294985250737
"Vesteraalen","N16",55.30454,-164.001257,"RockSole",44.3598492840995,102.764129615674
"Vesteraalen","N17",55.138237,-163.998942,"Other",14.36,38.723595505618
"Vesteraalen","N17",55.138237,-163.998942,"PacificCod",28.48,18.0507042253521
"Vesteraalen","N17",55.138237,-163.998942,"Pollock",7.41,7
"Vesteraalen","N17",55.138237,-163.998942,"RockSole",62.06,201.970414201183
"Vesteraalen","N2",57.62909,-164.03594,"Other",16.99,48.5492154065621
"Vesteraalen","N2",57.62909,-164.03594,"RockSole",1.96,39.2
"Vesteraalen","N2",57.62909,-164.03594,"StarryFlounder",5.49,15.8365384615385
"Vesteraalen","N2",57.62909,-164.03594,"YellowfinSole",0.9,7
"Vesteraalen","N3",57.463247,-164.033313,"Other",61.12,122.311165434375
"Vesteraalen","N3",57.463247,-164.033313,"Pollock",1.36,1
"Vesteraalen","N3",57.463247,-164.033313,"RockSole",9.13,71.328125
"Vesteraalen","N3",57.463247,-164.033313,"StarryFlounder",14.09,25.5759075907591
"Vesteraalen","N3",57.463247,-164.033313,"YellowfinSole",15.1,44.6745562130178
"Vesteraalen","N4",57.297379,-164.03071,"Other",39.41,93.0972626674432
