Date,NMFS box,Haul,Station,Nephrops,WireOut,Steering,Heading,Surface_C,Headline_C,HeadlineDepth_M
17-Mar,F-12,1,U8,2,140,212,200,-3.2,0.9,66
17-Mar,F-12,2,U7,2,150,355,353,-3.5,0.9,67
17-Mar,G-12,3,U6,2,150,355,7.4,-3.2,0.9,69
17-Mar,G-12,4,U5,2,150,352,6,-3.3,0.9,67
17-Mar,H-12,5,U4,2,150,342,345,-5.8,0.8,66
17-Mar,H-12,6,U3,2,140,75,74,-5.8,0.4,63
17-Mar,I-12,7,U2,2,140,154,168,-6.8,0.2,60
18-Mar,I-13,8,V2,2,120,132,157,-2.2,-0.2,56
18-Mar,H-13,9,V3,2,130,115,127,-3.2,0.1,55
18-Mar,H-13,10,V4,2,140,131,131,-2.7,0.5,59
18-Mar,G-13,11,V5,2,140,105,105,-1.1,0.6,62
18-Mar,G-13,12,V6,2,150,108,105,0.0,0.7,66
18-Mar,F-13,13,V7,2,150,176,167,1.6,0.7,61
18-Mar,F-13,14,V8,2,140,218,186,1.6,0.6,56
19-Mar,F-14,15,W8,2,80,,,1.5,-0.7,36
19-Mar,F-14,16,W7,2,100,,,1.7,0.3,48
19-Mar,G-14,17,W6,2,130,90,96,1.8,0.6,57
19-Mar,G-14,18,W5,2,130,90,95,1.7,0.5,60
20-Mar,H-14,19,W4,2,130,200,205,0.6,0.3,57
20-Mar,H-14,20,W3,2,120,258,245,0.3,-0.1,55
20-Mar,I-14,21,W2,2,120,238,237,0.0,-0.6,52
20-Mar,I-14,22,W1,2,110,277,265,0.2,-1.2,48
20-Mar,I-13,23,V1,2,120,263,254,0.1,-0.8,52
20-Mar,I-12,24,U1,2,120,274,267,0.3,-0.8,53
20-Mar,I-11,25,T1,2,110,245,218,0.9,-0.4,49
20-Mar,I-11,26,T2,2,120,193,185,1.2,0.4,54
21-Mar,E-12,27,U9,2,140,123,148,2.2,0.5,60
21-Mar,NA,28,V9,2,80,141,152,2.6,-0.4,33
21-Mar,E-12,29,U10,2,80,238,203,2.8,-0.7,33
21-Mar,NA,30,U11,2,80,222,187,3.1,-0.8,25
21-Mar,NA,31,T11,2,100,175,165,3.1,0.2,38
22-Mar,E-11,32,T10,2,120,227,237,0.8,0.5,52
22-Mar,E-11,33,T9,2,140,294,278,1.2,1.0,67
22-Mar,F-11,34,T8,2,140,249,227,1.2,1.2,67
22-Mar,F-11,35,T7,2,140,265,274,1.5,1.4,67
22-Mar,G-11,36,T6,2,160,286,178,1.3,1.1,75
22-Mar,G-11,37,T5,2,160,63,60,1.5,0.9,74
22-Mar,H-11,38,T4,2,140,91,89,1.1,0.2,64
22-Mar,H-11,39,T3,2,130,51,66,1.0,0.6,58
23-Mar,NA,40,S12,2,80,42,29,0.0,-0.4,26
23-Mar,NA,41,S11,2,130,55,43,1.4,0.7,56
